service_id,date,holiday_name,exception_type
c_15952_b_30799_d_63,20260101,New Years Day 2026,2
c_15952_b_30799_d_63,20251225,Christmas Day 2025,2
c_15952_b_30799_d_63,20251127,Thanksgiving Day 2025,2
c_15952_b_30799_d_63,20250901,Labor Day 2025,2
c_15952_b_30799_d_63,20250704,4th of July 2025,2
c_15952_b_30799_d_63,20250526,Memorial Day 2025,2
c_15952_b_30799_d_63,20250101,New Years Day 2025,2
c_15952_b_30799_d_63,20241225,Christmas Day 2024,2
c_15952_b_30799_d_63,20241128,Thanksgiving Day 2024,2
c_15952_b_30799_d_31,20260101,New Years Day 2026,2
c_15952_b_30799_d_31,20251225,Christmas Day 2025,2
c_15952_b_30799_d_31,20251127,Thanksgiving Day 2025,2
c_15952_b_30799_d_31,20250901,Labor Day 2025,2
c_15952_b_30799_d_31,20250704,4th of July 2025,2
c_15952_b_30799_d_31,20250526,Memorial Day 2025,2
c_15952_b_30799_d_31,20250101,New Years Day 2025,2
c_15952_b_30799_d_31,20241225,Christmas Day 2024,2
c_15952_b_30799_d_31,20241128,Thanksgiving Day 2024,2
