runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_15952_b_30799_d_31,100014,1,1,t_5727554_b_30799_tn_1,4230391,t_5727557_b_30799_tn_3,4230391
1000000,c_15952_b_30799_d_31,2855,10,1,t_5699088_b_30799_tn_0,786288,t_5936802_b_30799_tn_10,4230394
1100000,c_15952_b_30799_d_31,2856,11,1,t_5936803_b_30799_tn_1,4230394,t_5936806_b_30799_tn_11,4230394
1200000,c_15952_b_30799_d_31,2861,12,1,t_5900288_b_30799_tn_1,4230392,t_5664383_b_30799_tn_13,4230392
1300000,c_15952_b_30799_d_31,8572,13,1,t_5724968_b_30799_tn_1,4230391,t_5724969_b_30799_tn_6,4230391
1400000,c_15952_b_30799_d_32,100014,14,1,t_5727558_b_30799_tn_1,4230391,t_5727559_b_30799_tn_3,4230391
1500000,c_15952_b_30799_d_32,100016,15,1,t_5933364_b_30799_tn_1,4230395,t_5933366_b_30799_tn_4,4230395
1600000,c_15952_b_30799_d_32,178391,16,1,t_897924_b_30799_tn_1,4230397,t_5727561_b_30799_tn_15,4230397
1700000,c_15952_b_30799_d_32,2353,17,1,t_5900279_b_30799_tn_1,4230387,t_5672941_b_30799_tn_8,4230387
1800000,c_15952_b_30799_d_32,2659,18,1,t_5710843_b_30799_tn_0,4230393,t_5710850_b_30799_tn_16,4230393
1900000,c_15952_b_30799_d_32,2843,19,1,t_5724957_b_30799_tn_1,4230390,t_5724958_b_30799_tn_16,4230390
200000,c_15952_b_30799_d_31,100015,2,1,t_5935688_b_30799_tn_1,4230397,t_5727560_b_30799_tn_16,4230397
2000000,c_15952_b_30799_d_32,2853,20,1,t_5724966_b_30799_tn_1,4230390,t_5724967_b_30799_tn_15,4230390
2100000,c_15952_b_30799_d_32,2855,21,1,t_5936792_b_30799_tn_1,4230394,t_5936793_b_30799_tn_10,4230394
2200000,c_15952_b_30799_d_32,2856,22,1,t_5936790_b_30799_tn_1,4230394,t_5936791_b_30799_tn_10,4230394
2300000,c_15952_b_30799_d_63,2862,23,1,t_5664378_b_30799_tn_1,786288,t_5664378_b_30799_tn_14,4230396
2400000,c_15952_b_30799_d_64,100016,24,1,t_5933367_b_30799_tn_1,2505501,t_5935917_b_30799_tn_0,4230395
2500000,c_15952_b_30799_d_64,178391,25,1,t_1270346_b_30799_tn_1,4230397,t_5727562_b_30799_tn_11,4230397
2600000,c_15952_b_30799_d_64,2353,26,1,t_5673060_b_30799_tn_1,4230387,t_5673061_b_30799_tn_6,4230387
2700000,c_15952_b_30799_d_64,2659,27,1,t_5710851_b_30799_tn_0,4230393,t_5710857_b_30799_tn_12,4230393
2800000,c_15952_b_30799_d_64,2843,28,1,t_2139634_b_30799_tn_0,786173,t_5724960_b_30799_tn_11,4230390
2900000,c_15952_b_30799_d_64,2853,29,1,t_2141723_b_30799_tn_0,4212746,t_5724962_b_30799_tn_10,4230390
300000,c_15952_b_30799_d_31,100016,3,1,t_5936812_b_30799_tn_0,2505501,t_5933363_b_30799_tn_4,4230395
3000000,c_15952_b_30799_d_64,2855,30,1,t_5936796_b_30799_tn_0,786288,t_5936797_b_30799_tn_7,4230394
3100000,c_15952_b_30799_d_64,2856,31,1,t_5936794_b_30799_tn_1,4230394,t_5936798_b_30799_tn_7,4230394
3200000,c_15952_b_30799_d_64,2862,32,1,t_5664380_b_30799_tn_1,786288,t_5664380_b_30799_tn_12,4230396
400000,c_15952_b_30799_d_31,1296472,4,1,t_5936807_b_30799_tn_1,4230394,t_5936810_b_30799_tn_10,4230394
500000,c_15952_b_30799_d_31,2353,5,1,t_5900278_b_30799_tn_0,4230387,t_5672934_b_30799_tn_8,4230387
600000,c_15952_b_30799_d_31,2659,6,1,t_5710835_b_30799_tn_1,786100,t_5710835_b_30799_tn_34,4230393
700000,c_15952_b_30799_d_31,2843,7,1,t_2139633_b_30799_tn_0,786173,t_5724956_b_30799_tn_16,4230390
800000,c_15952_b_30799_d_31,2849,8,1,t_5683282_b_30799_tn_1,4230388,t_5683291_b_30799_tn_2,4230388
900000,c_15952_b_30799_d_31,2853,9,1,t_5752324_b_30799_tn_0,4212746,t_5724965_b_30799_tn_15,4230390
