trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_drop_off_window,end_pickup_drop_off_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_1270346_b_30799_tn_1,08:15:00,08:15:00,4230397,1,Outbound,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1270346_b_30799_tn_1,08:15:36,08:15:36,786263,2,Outbound,0,0,206.0873722590992,0,,,,,1,1,,,,,,,,,,,
t_1270346_b_30799_tn_1,08:17:20,08:17:20,786275,3,Outbound,0,0,801.2114542128174,0,,,,,1,1,,,,,,,,,,,
t_1270346_b_30799_tn_1,08:17:53,08:17:53,786273,4,Outbound,0,0,988.61642919438,0,,,,,1,1,,,,,,,,,,,
t_1270346_b_30799_tn_1,08:18:36,08:18:36,786432,5,Outbound,0,0,1236.1546092588546,0,,,,,1,1,,,,,,,,,,,
t_1270346_b_30799_tn_1,08:19:04,08:19:04,786431,6,Outbound,0,0,1393.2998086983162,0,,,,,1,1,,,,,,,,,,,
t_1270346_b_30799_tn_1,08:20:03,08:20:03,3478097,7,Outbound,0,0,1724.2975688009647,0,,,,,1,1,,,,,,,,,,,
t_1270346_b_30799_tn_1,08:20:26,08:20:26,786198,8,Outbound,0,0,1852.9623627567473,0,,,,,1,1,,,,,,,,,,,
t_1270346_b_30799_tn_1,08:20:58,08:20:58,786196,9,Outbound,0,0,2030.6951139452008,0,,,,,1,1,,,,,,,,,,,
t_1270346_b_30799_tn_1,08:21:40,08:21:40,786197,10,Outbound,0,0,2272.644751023431,0,,,,,1,1,,,,,,,,,,,
t_1270346_b_30799_tn_1,08:22:27,08:22:27,786209,11,Outbound,0,0,2532.1830198780517,0,,,,,1,1,,,,,,,,,,,
t_1270346_b_30799_tn_1,08:22:53,08:22:53,786208,12,Outbound,0,0,2682.0506222602794,0,,,,,1,1,,,,,,,,,,,
t_1270346_b_30799_tn_1,08:23:13,08:23:13,786210,13,Outbound,0,0,2793.8842953548497,0,,,,,1,1,,,,,,,,,,,
t_1270346_b_30799_tn_1,08:24:25,08:24:25,786211,14,Outbound,0,0,3199.5143027128133,0,,,,,1,1,,,,,,,,,,,
